State_Name,Assembly_No,Year,Women_Percentage
Bihar,17,2020,10.7
Bihar,16,2015,11.52
Bihar,15,2010,13.99
Bihar,14,2005,10.29
Bihar,13,2005,1.23
Bihar,12,2000,5.86
Bihar,11,1995,3.4
Bihar,10,1990,3.09
Bihar,9,1985,4.63
Bihar,8,1980,3.4
Bihar,7,1977,4.01
Bihar,6,1972,0
Bihar,5,1969,1.26
Bihar,4,1967,1.89
Bihar,3,1962,7.86
