State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Bihar,17,2020,211,12
Bihar,16,2015,160,8
Bihar,15,2010,90,7
Bihar,14,2005,58,12
Bihar,13,2005,65,11
Bihar,12,2000,51,13
Bihar,11,1995,55,17
Bihar,10,1990,45,11
Bihar,9,1985,13,9
Bihar,8,1980,19,10
Bihar,7,1977,14,7
Bihar,6,1972,22,11
Bihar,5,1969,21,13
Bihar,4,1967,9,9
Bihar,3,1962,9,7
