State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Bihar,17,2020,3733,3206
Bihar,16,2015,3450,2937
Bihar,15,2010,3523,3019
Bihar,14,2005,2133,1564
Bihar,13,2005,3193,2638
Bihar,12,2000,3941,3182
Bihar,11,1995,8313,7624
Bihar,10,1990,6613,5879
Bihar,9,1985,4237,3530
Bihar,8,1980,3002,2244
Bihar,7,1977,2994,2301
Bihar,6,1972,1983,1250
Bihar,5,1969,2154,1366
Bihar,4,1967,2025,1299
Bihar,3,1962,1529,810
