State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Odisha,16,2019,1127,778
Odisha,15,2014,1420,1077
Odisha,14,2009,1288,953
Odisha,13,2004,802,478
Odisha,12,2000,868,525
Odisha,11,1995,1413,1081
Odisha,10,1990,913,612
Odisha,9,1985,800,495
Odisha,8,1980,736,418
Odisha,7,1977,604,280
Odisha,6,1974,722,401
Odisha,5,1971,835,515
Odisha,4,1967,603,283
Odisha,3,1961,535,227
