State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Odisha,16,2019,41,4
Odisha,15,2014,42,5
Odisha,14,2009,35,5
Odisha,13,2004,29,7
Odisha,12,2000,26,8
Odisha,11,1995,24,6
Odisha,10,1990,22,5
Odisha,9,1985,11,4
Odisha,8,1980,12,5
Odisha,7,1977,7,4
Odisha,6,1974,14,8
Odisha,5,1971,14,9
Odisha,4,1967,8,7
Odisha,3,1961,5,4
