State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Arunachal_Pradesh,10,2019,7,5
Arunachal_Pradesh,9,2014,6,3
Arunachal_Pradesh,8,2009,6,5
Arunachal_Pradesh,7,2004,4,4
Arunachal_Pradesh,6,1999,5,3
Arunachal_Pradesh,5,1995,4,3
Arunachal_Pradesh,4,1990,3,3
Arunachal_Pradesh,3,1984,4,3
Arunachal_Pradesh,2,1980,3,2
Arunachal_Pradesh,1,1978,3,2
