State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Puducherry,14,2021,20,4
Puducherry,13,2016,20,4
Puducherry,12,2011,17,4
Puducherry,11,2006,18,7
Puducherry,10,2001,17,6
Puducherry,9,1996,15,7
Puducherry,8,1991,13,5
Puducherry,7,1990,14,5
Puducherry,6,1985,11,4
Puducherry,5,1980,8,4
Puducherry,4,1977,5,5
Puducherry,3,1974,6,6
Puducherry,2,1969,3,3
Puducherry,1,1964,3,3
