State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Delhi,11,2020,95,2
Delhi,10,2015,71,2
Delhi,9,2013,78,5
Delhi,8,2008,68,4
Delhi,7,2003,62,4
Delhi,6,1998,55,3
Delhi,5,1993,50,3
Delhi,4,1983,7,4
Delhi,3,1977,10,2
Delhi,2,1972,8,4
