State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Haryana,13,2019,1169,958
Haryana,12,2014,1351,1122
Haryana,11,2009,1222,1009
Haryana,10,2005,983,769
Haryana,9,2000,965,751
Haryana,8,1996,2527,2300
Haryana,7,1991,1849,1628
Haryana,6,1987,1322,1125
Haryana,5,1982,1095,891
Haryana,4,1977,671,477
Haryana,3,1972,384,209
Haryana,2,1968,398,215
Haryana,1,1967,471,284
