State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Uttarakhand,5,2022,632,477
Uttarakhand,4,2017,637,475
Uttarakhand,3,2012,788,614
Uttarakhand,2,2007,785,619
Uttarakhand,1,2002,927,765
