State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Uttarakhand,5,2022,44,3
Uttarakhand,4,2017,34,2
Uttarakhand,3,2012,43,4
Uttarakhand,2,2007,37,4
Uttarakhand,1,2002,28,5
