State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Goa,8,2022,301,206
Goa,7,2017,251,164
Goa,6,2012,215,127
Goa,5,2007,202,109
Goa,4,2002,212,117
Goa,3,1999,210,114
Goa,2,1994,311,217
Goa,1,1989,252,160
