State_Name,Assembly_No,Year,Women_Percentage
Punjab,16,2022,11.11
Punjab,15,2017,5.13
Punjab,14,2012,11.97
Punjab,13,2007,6.03
Punjab,12,2002,6.84
Punjab,11,1997,5.98
Punjab,10,1992,5.13
Punjab,9,1985,3.42
Punjab,8,1980,5.13
Punjab,7,1977,2.56
Punjab,6,1972,5.77
Punjab,5,1969,0
Punjab,4,1967,1.92
Punjab,3,1962,5.19
