State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Punjab,16,2022,1304,1003
Punjab,15,2017,1145,824
Punjab,14,2012,1078,817
Punjab,13,2007,1043,798
Punjab,12,2002,923,655
Punjab,11,1997,693,420
Punjab,10,1992,579,317
Punjab,9,1985,857,595
Punjab,8,1980,722,466
Punjab,7,1977,682,437
Punjab,6,1972,468,250
Punjab,5,1969,471,239
Punjab,4,1967,602,367
Punjab,3,1962,756,421
