State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Meghalaya,11,2023,369,218
Meghalaya,10,2018,370,217
Meghalaya,9,2013,345,182
Meghalaya,8,2008,338,184
Meghalaya,7,2003,333,184
Meghalaya,6,1998,308,168
Meghalaya,5,1993,290,143
Meghalaya,4,1988,271,123
Meghalaya,3,1983,317,158
Meghalaya,2,1978,262,102
Meghalaya,1,1972,198,70
