State_Name,Assembly_No,Year,Women_Percentage
Meghalaya,11,2023,5.08
Meghalaya,10,2018,5
Meghalaya,9,2013,6.67
Meghalaya,8,2008,1.67
Meghalaya,7,2003,3.33
Meghalaya,6,1998,5
Meghalaya,5,1993,1.67
Meghalaya,4,1988,3.33
Meghalaya,3,1983,0
Meghalaya,2,1978,1.67
Meghalaya,1,1972,0
