State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Mysore,1962,3,143,KUNIGAL,GEN,T. N. MUDALAGIRI GOWDA,INC,9165,2,27.32,,,,27.32
Mysore,1962,3,143,KUNIGAL,GEN,B. THIMMEGOWDA,PSP,6973,3,20.79,,,,20.79
Mysore,1962,3,144,HEBBUR,GEN,K. LAKKAPPA,PSP,21822,1,54.61,,,,54.61
Mysore,1962,3,144,HEBBUR,GEN,K. L. NARASIMHAIAH,INC,18140,2,45.39,,,,45.39
Mysore,1962,3,145,TUMKUR,GEN,G. C. BHAGEERATHAMMA,INC,15178,1,48.63,,,,48.63
Mysore,1962,3,145,TUMKUR,GEN,G. N. PUTTANNA,PSP,2769,3,8.87,,,,8.87
Mysore,1962,3,145,TUMKUR,GEN,S. MALLIKARUNAIAH,JS,1488,4,4.77,,,,4.77
Mysore,1962,3,146,KORATAGERE,SC,R. CHANNIGARAMAIAH,INC,9053,1,46.69,,,,46.69
Mysore,1962,3,146,KORATAGERE,SC,S. ANJAIAH,PSP,8885,2,45.82,,,,45.82
Mysore,1962,3,147,MADHUGIRI,GEN,T. S. SHIVANNA,PSP,19083,1,51.63,,,,51.63
Mysore,1962,3,147,MADHUGIRI,GEN,G. T. GOVINDA REDDY,INC,15492,2,41.92,,,,41.92
Mysore,1962,3,147,MADHUGIRI,GEN,T. S. GUNDU RAO,JS,2385,3,6.45,,,,6.45
Mysore,1962,3,148,GOWRIBIDANUR,GEN,K. H. VENKATA REDDY,INC,16718,2,40.67,,,,40.67
Mysore,1962,3,149,CHIKBALLAPUR,GEN,T. S. VENKATARAMANAIAH,INC,13373,2,36.4,,,,36.4
Mysore,1962,3,150,BAGEPALLI,SC,B. SUBBARAYAPPA,INC,12949,1,50.77,,,,50.77
Mysore,1962,3,151,SIDLAGHATTA,GEN,S. AVALA REDDY,INC,21696,1,57.57,,,,57.57
Mysore,1962,3,152,CHINTAMANI,GEN,V. SEETHAPA,INC,16931,2,43.87,,,,43.87
Mysore,1962,3,153,SRINIVASAPUR,GEN,G. NARAYANA GOWDA,INC,20311,1,57.39,,,,57.39
Mysore,1962,3,154,MULBAGAL,SC,J. NARAYANAPP A,INC,12070,1,64.69,,,,64.69
Mysore,1962,3,154,MULBAGAL,SC,B. H. HANUMAPPA,REP,232,5,1.24,,,,1.24
Mysore,1962,3,155,KOLAR,GEN,D. ABDUL RASHEED,INC,15272,2,42.22,,,,42.22
Mysore,1962,3,156,ROBERTSONPET,GEN,D. VENKATA RAMIAH,INC,14536,1,69.73,,,,69.73
Mysore,1962,3,156,ROBERTSONPET,GEN,V. M. GOVINDAN,CPI,2935,2,14.08,,,,14.08
Mysore,1962,3,156,ROBERTSONPET,GEN,SYED NAZEER AHMED,REP,2534,3,12.16,,,,12.16
Mysore,1962,3,157,KOLAR GOLD FIELDS,SC,S. RAJAGOPAL,CPI,6886,1,26.71,,,,26.71
Mysore,1962,3,157,KOLAR GOLD FIELDS,SC,C. M. ARMUGAM,REP,6758,2,26.21,,,,26.21
Mysore,1962,3,157,KOLAR GOLD FIELDS,SC,P. DORAI RAJ,INC,5725,3,22.2,,,,22.2
Mysore,1962,3,157,KOLAR GOLD FIELDS,SC,K. S. GOPAA KRISHNAN,DMK,1100,5,4.27,,,,4.27
Mysore,1962,3,158,BANGARPET,GEN,K. V. NARAYANA REDDY,INC,9513,2,31.22,,,,31.22
Mysore,1962,3,158,BANGARPET,GEN,CHAMUNDI,REP,1336,3,4.38,,,,4.38
Mysore,1962,3,159,MALUR,GEN,H. C. LINGA REDDY,INC,15723,2,46.94,,,,46.94
Mysore,1962,3,159,MALUR,GEN,R. VINODHA DOSS,REP,639,3,1.91,,,,1.91
Mysore,1962,3,160,MALLESWARAM,GEN,K. SRIRAMULU,INC,7832,2,21.67,,,,21.67
Mysore,1962,3,160,MALLESWARAM,GEN,B. VENKATASUBBA RAO,SWA,5438,3,15.05,,,,15.05
Mysore,1962,3,160,MALLESWARAM,GEN,A. NAGESHA RAO,CPI,4524,5,12.52,,,,12.52
Mysore,1962,3,160,MALLESWARAM,GEN,ANNIAPPAN,DMK,2648,6,7.33,,,,7.33
Mysore,1962,3,160,MALLESWARAM,GEN,S. B. SWETHADRI,JS,985,7,2.73,,,,2.73
Mysore,1962,3,160,MALLESWARAM,GEN,JAYARAM,REP,792,8,2.19,,,,2.19
Mysore,1962,3,161,GHANDHI NAGAR,GEN,NAGARATHNAMMA HIREMATH,INC,12958,1,48.67,,,,48.67
Mysore,1962,3,161,GHANDHI NAGAR,GEN,NATESHAN,DMK,2774,3,10.42,,,,10.42
Mysore,1962,3,161,GHANDHI NAGAR,GEN,M. C. NARASIMHAN,CPI,1705,4,6.4,,,,6.4
Mysore,1962,3,161,GHANDHI NAGAR,GEN,M. S. MOSES,SWA,1178,5,4.42,,,,4.42
Mysore,1962,3,161,GHANDHI NAGAR,GEN,K. SRIRANGANATHAN,JS,497,6,1.87,,,,1.87
Mysore,1962,3,162,CHIKPET,GEN,Y. RAMACHANDRA,INC,10777,1,44.49,,,,44.49
Mysore,1962,3,162,CHIKPET,GEN,GUNDAIAH SETTY,JS,1353,5,5.58,,,,5.58
Mysore,1962,3,163,CHAMARAJAPET,GEN,R. DAYANANDA SAGAR,INC,11897,1,53.25,,,,53.25
Mysore,1962,3,163,CHAMARAJAPET,GEN,M. RANGAIAH NAIDU,SWA,7882,2,35.28,,,,35.28
Mysore,1962,3,163,CHAMARAJAPET,GEN,M .S. RAMA RAO,CPI,1561,3,6.99,,,,6.99
Mysore,1962,3,163,CHAMARAJAPET,GEN,S. SRIRAM,JS,1000,4,4.48,,,,4.48
Mysore,1962,3,164,BASAVANGUDI,GEN,M. KRISHNAPPA,INC,12676,1,48.45,,,,48.45
Mysore,1962,3,164,BASAVANGUDI,GEN,V. T. SREENIVASAN,SWA,6053,2,23.14,,,,23.14
Mysore,1962,3,164,BASAVANGUDI,GEN,M. A. VENKATA RAO,JS,2681,4,10.25,,,,10.25
Mysore,1962,3,165,CUBBONPET,GEN,V. P. DEENADAYALA NAIDU,INC,6874,2,24.21,,,,24.21
Mysore,1962,3,165,CUBBONPET,GEN,G. MATHIAS,SWA,1942,3,6.84,,,,6.84
