State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Jharkhand,2019,4,JSVP,81,15048908,321311,2,0,2,0.0,0,0.02,0.74,53,
Jharkhand,2019,4,JVM,81,15048908,15048908,81,3,76,3.7037037037037037,3.7,5.45,5.45,4,JHARKHAND VIKAS MORCHA (PRAJATANTRIK)
Jharkhand,2019,4,LJP,81,15048908,6326760,33,0,33,0.0,0,0.3,0.71,54,
Jharkhand,2019,4,LJVM,81,15048908,694311,3,0,3,0.0,0,0.02,0.47,55,
Jharkhand,2019,4,LOKJANP,81,15048908,727319,4,0,4,0.0,0,0.04,0.8,56,
Jharkhand,2019,4,MCO,81,15048908,1646804,8,0,6,0.0,0,0.97,8.87,57,MARXIST CO-ORDINATION
Jharkhand,2019,4,MOSP,81,15048908,203121,1,0,1,0.0,0,0.01,0.38,58,
Jharkhand,2019,4,NAGADHP,81,15048908,1248049,6,0,6,0.0,0,0.05,0.57,59,
Jharkhand,2019,4,NCP,81,15048908,1338234,7,1,6,14.285714285714286,1.23,0.42,4.73,8,NATIONALIST CONGRESS PARTY
Jharkhand,2019,4,NOTA,81,15048908,15048908,81,0,0,0.0,0,1.36,1.36,60,
Jharkhand,2019,4,NPEP,81,15048908,175462,1,0,1,0.0,0,0.01,0.56,61,
Jharkhand,2019,4,NYP,81,15048908,188207,1,0,1,0.0,0,0.01,0.58,62,
Jharkhand,2019,4,PBI,81,15048908,158708,1,0,1,0.0,0,0,0.31,63,
Jharkhand,2019,4,PECP,81,15048908,191478,1,0,1,0.0,0,0.01,0.89,64,
Jharkhand,2019,4,PPID,81,15048908,4848183,24,0,24,0.0,0,0.11,0.35,65,
Jharkhand,2019,4,PSPL,81,15048908,829033,4,0,4,0.0,0,0.03,0.46,66,
Jharkhand,2019,4,PSS,81,15048908,158708,1,0,1,0.0,0,0,0.23,67,
Jharkhand,2019,4,RADP,81,15048908,476213,3,0,3,0.0,0,0.01,0.47,68,
Jharkhand,2019,4,RAIM,81,15048908,196729,1,0,1,0.0,0,0,0.23,69,
Jharkhand,2019,4,RJBP,81,15048908,1875915,9,0,9,0.0,0,0.06,0.46,70,
Jharkhand,2019,4,RJD,81,15048908,1384897,7,1,1,14.285714285714286,1.23,2.75,29.83,9,RASHTRIYA JANATA DAL
Jharkhand,2019,4,RKSP,81,15048908,210394,1,0,1,0.0,0,0,0.09,71,
Jharkhand,2019,4,RPI(A),81,15048908,1077100,6,0,6,0.0,0,0.04,0.59,72,
Jharkhand,2019,4,RPPRINAT,81,15048908,210394,1,0,1,0.0,0,0,0.28,73,
Jharkhand,2019,4,RRP,81,15048908,254259,1,0,1,0.0,0,0.01,0.34,74,
Jharkhand,2019,4,RTJHPR,81,15048908,254259,1,0,1,0.0,0,0.01,0.57,75,
Jharkhand,2019,4,RTMP,81,15048908,1647705,9,0,9,0.0,0,0.05,0.42,76,
Jharkhand,2019,4,RTORP,81,15048908,565244,3,0,3,0.0,0,0.02,0.42,77,
Jharkhand,2019,4,RTSGP,81,15048908,273534,2,0,2,0.0,0,0.11,6.29,78,
Jharkhand,2019,4,RTSMJD,81,15048908,188662,1,0,1,0.0,0,0.01,0.82,79,
Jharkhand,2019,4,RUC,81,15048908,158509,1,0,1,0.0,0,0,0.35,80,
Jharkhand,2019,4,SAP,81,15048908,162951,1,0,1,0.0,0,0,0.3,81,
Jharkhand,2019,4,SBSP,81,15048908,402770,2,0,2,0.0,0,0.01,0.55,82,
Jharkhand,2019,4,SHS,81,15048908,3004289,15,0,15,0.0,0,0.08,0.42,83,
Jharkhand,2019,4,SP,81,15048908,3437452,17,0,17,0.0,0,0.11,0.49,84,
