Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct,State_Name
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,14635,2,0,0,0,2,0,0,0,0,0,0,CPM,0,#991f00,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,2895,1,0,0,0,1,0,0,0,0,0,0,DABAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,18201,1,0,0,0,1,0,0,0,0,0,0,HMRD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,3457,1,0,0,0,1,0,0,0,0,0,0,ILP(AP),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,3482,25,0,0,0,24,1,0,0,0,0,0,INC,0,#138808,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,10809,99,0,0,2,97,2,0,0,0,0,0,IND,9.09,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,3331,4,0,0,0,4,0,0,0,0,0,0,IPBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,3952,3,0,0,0,3,0,0,0,0,0,0,IUML,0,#006600,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17070,7,0,0,0,7,0,0,0,0,0,0,JAJGP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17114,1,0,0,0,1,0,0,0,0,0,0,JPD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17069,17,1,2,1,15,1,1,0,0,0,0,JnP,4.55,,8.33,1 (8.33%),0,0.0% (0/1),0,0.0% (0/2),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,5399,1,0,0,0,1,0,0,0,0,0,0,MCPI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17078,4,0,0,0,4,0,0,0,0,0,0,MPP,0,#b7ae02,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17097,1,0,0,0,1,0,0,0,0,0,0,NDDHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17098,1,0,0,0,1,0,0,0,0,0,0,NNKP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,5841,2,0,0,0,2,0,0,0,0,0,0,NPT,0,#21ee2e,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17092,3,0,0,0,3,0,0,0,0,0,0,NRCP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,5814,1,0,0,0,1,0,0,0,0,0,0,NVSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17117,1,0,0,0,1,0,0,0,0,0,0,NavaP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,6298,20,0,0,0,20,0,0,0,0,0,0,PPOI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,6134,4,0,0,0,4,0,0,0,0,0,0,PRSHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,24350,1,0,0,0,1,0,0,0,0,0,0,RD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,12061,1,0,0,0,1,0,0,0,0,0,0,RDHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,12157,1,0,0,0,0,0,1,0,0,0,0,RKSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,6772,1,0,0,1,0,1,0,0,0,0,0,RPC(S),4.55,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,12285,5,0,0,0,5,0,0,0,0,0,0,RPI(A),0,#1c0ea0,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,14880,1,0,0,0,1,0,0,0,0,0,0,RPI(KH),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,12375,1,0,0,0,1,0,0,0,0,0,0,RRS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,18166,1,0,0,0,1,0,0,0,0,0,0,SAPRP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,7985,1,0,0,0,1,0,0,0,0,0,0,SDPI,0,#84df33,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,7333,1,0,0,0,1,0,0,0,0,0,0,SMFB,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,7425,2,0,0,0,2,0,0,0,0,0,0,SP,0,#990000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,8082,2,0,0,1,1,1,0,0,0,0,0,SUCI(C),4.55,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,8300,25,9,4,12,12,3,10,1,1,2,0,TDP,54.55,#ffff00,75,9 (75.0%),22.22,22.22% (2/9),0,0.0% (0/4),5.26,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,8488,3,0,0,0,3,0,0,0,0,0,0,VCK,0,#d21b92,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17111,2,0,0,0,2,0,0,0,0,0,0,VJNP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,8615,25,2,3,5,19,4,2,18,17,2,2,YSRCP,22.73,#a64fef,16.67,2 (16.67%),100,100.0% (2/2),66.67,66.67% (2/3),94.74,Andhra_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,3040,1,0,0,0,1,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),nan,Arunachal_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,1605,2,1,0,2,0,0,2,0,0,1,0,BJP,66.67,#ff9933,100,1 (100.0%),100,100.0% (1/1),nan,nan% (0/0),nan,Arunachal_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,3482,2,0,1,0,1,1,0,0,0,0,0,INC,0,#138808,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),nan,Arunachal_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,10809,2,0,0,0,2,0,0,0,0,0,0,IND,0,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),nan,Arunachal_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,10979,2,0,0,0,2,0,0,0,0,0,0,JD(S),0,#166F46,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),nan,Arunachal_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,5671,1,0,0,0,1,0,0,0,0,0,0,NPEP,0,#AB7B4A,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),nan,Arunachal_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,6028,2,0,0,1,1,0,1,0,0,0,0,PPA,33.33,#E2C000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),nan,Arunachal_Pradesh
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,24354,1,0,0,1,0,1,0,0,0,0,0,ADRP,4,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,978,3,0,0,0,2,1,0,0,0,0,0,AGP,0,#E9C6BD,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,3040,3,0,0,1,2,0,1,0,0,0,0,AIFB,4,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,18228,8,0,0,1,7,1,0,0,0,0,0,AITC,4,#4285F4,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,795,3,2,0,2,1,0,2,0,0,1,0,AIUDF,8,#00FF00,25,2 (25.0%),50,50.0% (1/2),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,24353,4,0,0,0,4,0,0,0,0,0,0,AJM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,994,1,0,0,0,1,0,0,0,0,0,0,ASDC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,1397,4,0,0,0,4,0,0,0,0,0,0,BGanP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,1605,10,2,0,2,8,2,0,7,7,2,0,BJP,8,#ff9933,25,2 (25.0%),100,100.0% (2/2),nan,nan% (0/0),77.78,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,1074,1,0,1,0,0,1,0,0,0,0,0,BMUP,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,9441,1,0,0,0,1,0,0,0,0,0,0,BNJD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,9451,1,0,0,0,1,0,0,0,0,0,0,BOPF,0,#FFBC90,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,2444,2,0,0,0,2,0,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,14635,2,0,1,1,1,1,0,0,0,0,0,CPM,4,#991f00,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,3288,5,0,0,0,5,0,0,0,0,0,0,HND,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,3482,14,3,0,5,8,2,4,2,2,1,0,INC,20,#138808,37.5,3 (37.5%),33.33,33.33% (1/3),nan,nan% (0/0),22.22,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,10809,45,1,0,4,40,4,1,0,0,1,0,IND,16,#808080,12.5,1 (12.5%),100,100.0% (1/1),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,5792,2,0,0,0,2,0,0,0,0,0,0,NCP,0,#99003d,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,5671,7,0,0,0,7,0,0,0,0,0,0,NPEP,0,#AB7B4A,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,24352,2,0,0,1,1,0,1,0,0,0,0,NRCong,4,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,24534,5,0,1,1,4,0,1,0,0,0,0,PUJP,4,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,12285,3,0,0,0,3,0,0,0,0,0,0,RPI(A),0,#1c0ea0,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,7425,1,0,0,1,0,0,1,0,0,0,0,SP,4,#990000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,8082,6,0,0,4,2,2,2,0,0,0,0,SUCI(C),16,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,18091,1,0,0,0,1,0,0,0,0,0,0,SwaBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,8325,1,0,0,0,1,0,0,0,0,0,0,TNRMPI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,24351,2,0,0,1,0,1,1,0,0,0,0,UPPL,4,#49a74a,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,8516,7,0,0,0,6,1,0,0,0,0,0,VPI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Assam
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,13,3,0,0,1,2,1,0,0,0,0,0,AAAP,1.15,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,43,1,0,0,0,1,0,0,0,0,0,0,AAHPty,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,24923,4,0,0,0,4,0,0,0,0,0,0,AAM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,9325,1,0,0,1,0,0,1,0,0,0,0,ABJS,1.15,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,443,2,0,0,0,2,0,0,0,0,0,0,AHFBK,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,3040,4,0,0,0,4,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,706,1,0,1,1,0,1,0,0,0,0,0,AIMIM,1.15,#285B35,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,18228,1,0,0,0,1,0,0,0,0,0,0,AITC,0,#4285F4,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,40,3,0,0,0,3,0,0,0,0,0,0,AJPR,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,393,1,0,0,0,1,0,0,0,0,0,0,AKBHAD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,388,1,0,0,0,1,0,0,0,0,0,0,AKBMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,3,2,0,0,1,1,1,0,0,0,0,0,AMiP,1.15,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,840,1,0,0,0,1,0,0,0,0,0,0,ANC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,24934,1,0,0,0,1,0,0,0,0,0,0,APKSP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,880,2,0,0,0,2,0,0,0,0,0,0,APoI,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,24935,4,0,0,0,4,0,0,0,0,0,0,ASDHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,18015,2,0,0,0,2,0,0,0,0,0,0,BALP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,15789,5,0,0,0,5,0,0,0,0,0,0,BBC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,15783,1,0,0,0,1,0,0,0,0,0,0,BBMP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,1896,3,0,0,0,3,0,0,0,0,0,0,BDlP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,1907,1,0,0,0,1,0,0,0,0,0,0,BHAIP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,18101,2,0,0,0,2,0,0,0,0,0,0,BHAPRAP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,24357,1,0,0,0,1,0,0,0,0,0,0,BJAZP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,9086,4,0,0,0,4,0,0,0,0,0,0,BJKD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,1278,7,0,0,3,4,1,2,0,0,0,0,BJKVP,3.45,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,1605,17,13,0,14,3,6,8,3,3,13,0,BJP,16.09,#ff9933,46.43,13 (46.43%),100,100.0% (13/13),nan,nan% (0/0),18.75,Bihar
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,1981,1,0,0,0,1,0,0,0,0,0,0,BKVP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Bihar
