Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
1996,11,TDP,36,16,2,2.89,44.44,14
1996,11,TMC(M),20,20,0,27.36,100.0,6
1996,11,UGDP,1,1,0,9.37,100.0,7
1991,10,ADC,1,1,0,19.48,100.0,1
1991,10,ADK,11,11,0,32.15,100.0,2
1991,10,AGP,14,1,6,0.15,7.14,21
1991,10,BJP,477,120,189,2.69,25.16,14
1991,10,BSP,243,3,217,0.03,1.23,24
1991,10,CPI,43,14,16,3.91,32.56,13
1991,10,CPM,63,35,8,6.12,55.56,6
1991,10,FBL,19,3,16,2.13,15.79,18
1991,10,HVP,4,1,3,1.32,25.0,15
1991,10,ICS(SCS),28,1,25,0.08,3.57,22
1991,10,INC,500,244,60,8.31,48.8,9
1991,10,IND,5546,1,5529,0.01,0.02,25
1991,10,JD,312,59,150,2.78,18.91,16
1991,10,JD(G),10,1,0,1.34,10.0,19
1991,10,JMM,14,6,8,7,42.86,11
1991,10,JP,350,5,310,0.09,1.43,23
1991,10,KEC(M),1,1,0,13.78,100.0,3
1991,10,MIM,2,1,1,2,50.0,7
1991,10,MRP,1,1,0,5.73,100.0,4
1991,10,MUL,20,2,18,1.36,10.0,20
1991,10,NPC,1,1,0,8.33,100.0,5
1991,10,RSP,9,4,4,6.43,44.44,10
1991,10,SHS,22,4,5,0.96,18.18,17
1991,10,SSP,2,1,1,43.43,50.0,8
1991,10,TDP,35,13,1,2.41,37.14,12
1989,9,ADK,11,11,0,28.45,100.0,1
1989,9,BJP,225,85,88,6.02,37.78,13
1989,9,BSP,245,3,221,0.02,1.22,24
1989,9,CPI,50,12,20,3.44,24.0,17
1989,9,CPM,64,33,5,5.76,51.56,11
1989,9,FBL,8,3,5,4.16,37.5,14
1989,9,GNLF,1,1,0,18.84,100.0,2
1989,9,HMS,12,1,11,0.84,8.33,20
1989,9,ICS(SCS),14,1,9,0.07,7.14,22
1989,9,INC,510,197,5,5.28,38.63,12
1989,9,IND,3712,12,3671,0.03,0.32,25
1989,9,IPF,13,1,11,0.23,7.69,21
1989,9,JD,244,143,29,10.82,58.61,10
1989,9,JKN,3,3,0,63.02,100.0,3
1989,9,JMM,12,3,6,5.43,25.0,16
1989,9,KEC(M),1,1,0,9.43,100.0,4
1989,9,M-COR,1,1,0,2.13,100.0,5
1989,9,MAG,1,1,0,6.63,100.0,6
1989,9,MIM,8,1,7,1.89,12.5,18
1989,9,MUL,18,2,16,1.33,11.11,19
1989,9,RSP,6,4,1,5.52,66.67,8
1989,9,SAD(M),9,6,2,23.3,66.67,9
1989,9,SHS,3,1,1,0.48,33.33,15
1989,9,SSP,1,1,0,46.96,100.0,7
1989,9,TDP,33,2,0,0.26,6.06,23
1984,8,ADK,12,12,0,19.56,100.0,1
1984,8,BJP,229,2,112,0.08,0.87,19
1984,8,CPI,66,6,33,0.62,9.09,14
1984,8,CPM,64,22,9,1.57,34.38,8
1984,8,DMK,28,2,0,0.9,7.14,15
1984,8,FBL,6,2,2,1.58,33.33,9
1984,8,ICJ,35,1,29,0.01,2.86,17
1984,8,ICS,39,5,19,1.83,12.82,13
1984,8,INC,517,414,5,17.93,80.08,4
1984,8,IND,3894,13,3830,0.07,0.33,20
1984,8,JKN,5,3,0,24.97,60.0,7
