State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Assam,15,2021,41,7
Assam,14,2016,36,5
Assam,13,2011,24,6
Assam,12,2006,30,10
Assam,11,2001,27,8
Assam,10,1996,18,8
Assam,9,1991,26,8
Assam,8,1985,9,4
Assam,7,1983,5,5
Assam,6,1978,11,7
Assam,5,1972,9,5
Assam,4,1967,8,6
Assam,3,1962,8,4
