State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Assam,15,2021,946,682
Assam,14,2016,1064,772
Assam,13,2011,981,686
Assam,12,2006,997,670
Assam,11,2001,916,629
Assam,10,1996,1228,954
Assam,9,1991,1657,1393
Assam,8,1985,1133,868
Assam,7,1983,471,279
Assam,6,1978,938,648
Assam,5,1972,478,247
Assam,4,1967,492,223
Assam,3,1962,409,178
