Assembly_No,MyNeta_education,MLAs_var
9,10th Pass,6
9,12th Pass,5
9,5th Pass,1
9,8th Pass,4
9,Doctorate,2
9,Graduate,10
9,Graduate Professional,4
8,10th Pass,5
8,12th Pass,7
8,5th Pass,2
8,8th Pass,2
8,Doctorate,2
8,Graduate,9
8,Graduate Professional,4
8,Post Graduate,1
7,10th Pass,6
7,12th Pass,6
7,8th Pass,4
7,Doctorate,2
7,Graduate,11
7,Graduate Professional,2
7,Literate,1
6,Graduate,1
6,Graduate Professional,1
6,Literate,1
6,Unknown,25
