State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Sikkim,9,2019,10,2
Sikkim,8,2014,5,2
Sikkim,7,2009,8,1
Sikkim,6,2004,6,2
Sikkim,5,1999,4,2
Sikkim,4,1994,6,3
Sikkim,3,1989,4,1
Sikkim,2,1985,6,2
Sikkim,1,1979,7,3
