State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Sikkim,9,2019,150,85
Sikkim,8,2014,121,57
Sikkim,7,2009,167,106
Sikkim,6,2004,87,36
Sikkim,5,1999,105,38
Sikkim,4,1994,186,109
Sikkim,3,1989,118,62
Sikkim,2,1985,195,133
Sikkim,1,1979,244,173
