State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Nagaland,14,2023,12,8
Nagaland,13,2018,9,5
Nagaland,12,2013,7,5
Nagaland,11,2008,10,4
Nagaland,10,2003,10,6
Nagaland,9,1998,1,1
Nagaland,8,1993,4,3
Nagaland,7,1989,3,2
Nagaland,6,1987,4,3
Nagaland,5,1982,2,2
Nagaland,4,1977,3,3
Nagaland,3,1974,2,2
Nagaland,2,1969,2,2
Nagaland,1,1964,0,0
