State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Nagaland,14,2023,184,56
Nagaland,13,2018,196,59
Nagaland,12,2013,187,47
Nagaland,11,2008,218,77
Nagaland,10,2003,225,80
Nagaland,9,1998,80,2
Nagaland,8,1993,179,35
Nagaland,7,1989,140,15
Nagaland,6,1987,214,51
Nagaland,5,1982,245,70
Nagaland,4,1977,204,43
Nagaland,3,1974,219,67
Nagaland,2,1969,144,39
Nagaland,1,1964,73,9
