State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Madhya_Pradesh,15,2018,2899,2390
Madhya_Pradesh,14,2013,2583,2083
Madhya_Pradesh,13,2008,3179,2654
Madhya_Pradesh,12,2003,2171,1655
Madhya_Pradesh,11,1998,2510,1778
Madhya_Pradesh,10,1993,3729,2995
Madhya_Pradesh,9,1990,4214,3519
Madhya_Pradesh,8,1985,2450,1791
Madhya_Pradesh,7,1980,2000,1325
Madhya_Pradesh,6,1977,1994,1323
Madhya_Pradesh,5,1972,1417,786
Madhya_Pradesh,4,1967,1553,943
Madhya_Pradesh,3,1962,1336,686
