State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Karnataka,11,2023,2615,2111
Karnataka,10,2018,2655,2143
Karnataka,9,2013,2948,2419
Karnataka,8,2008,2242,1694
Karnataka,7,2004,1715,1165
Karnataka,6,1999,1341,818
Karnataka,5,1994,2497,1943
Karnataka,4,1989,2043,1515
Karnataka,3,1985,1795,1315
Karnataka,2,1983,1365,880
Karnataka,1,1978,1165,667
