State_Name,Assembly_No,Year,Women_Percentage
Jammu_&_Kashmir,10,2014,2.3
Jammu_&_Kashmir,9,2008,3.45
Jammu_&_Kashmir,8,2002,2.3
Jammu_&_Kashmir,7,1996,2.3
Jammu_&_Kashmir,6,1987,1.32
Jammu_&_Kashmir,5,1983,0
Jammu_&_Kashmir,4,1977,1.32
Jammu_&_Kashmir,3,1972,5.33
Jammu_&_Kashmir,2,1967,0
Jammu_&_Kashmir,1,1962,0
