State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Kerala,16,2021,48,16
Kerala,15,2016,37,13
Kerala,14,2011,30,12
Kerala,13,2006,27,15
Kerala,12,2001,26,14
Kerala,11,1996,26,12
Kerala,10,1991,19,11
Kerala,9,1987,10,9
Kerala,8,1982,13,12
Kerala,7,1980,15,11
Kerala,6,1977,11,9
Kerala,5,1970,15,10
Kerala,4,1967,9,6
Kerala,3,1965,6,6
