State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Madras,4,1967,2,26,TIRUVALLUR,70.48,66.06,SC,87391,3,1,Male,DMK,40687,S. M. DORAIRAJ,35.16,V. S. ARUNACHALAM,INC,M,nan,INC,A. M. PONNURANGA MUDALIAR,10.04,-5.5,14.08,DMK
Madras,4,1967,2,27,TIRUTTANI,67.08,40.34,General,100232,3,1,Male,INC,27123,K. VINAYAKAM,2.66,V. K. KUPPUSWAMY,DMK,M,nan,DMK,K. GOVINDAN,-1.65,-2.53,2.01,INC
Madras,4,1967,2,28,ARKONAM,79.9,52.78,General,91231,3,1,Male,DMK,38478,S. J. RAMASAMY,10.44,B. NAIDU,INC,M,nan,DMK,S. MUTHULINGAM,-11.79,21.7,-18.7,
Madras,4,1967,2,29,SHOLINGHUR,79.85,51.67,General,85378,4,1,Male,DMK,35225,ARANGANATHAN,10.3,A. M. P. MUDALIAR,INC,M,nan,INC,P. RAMACHANDRA,2.17,12.39,-6.78,DMK
Madras,4,1967,2,30,RANIPET,72.56,45.14,General,91628,7,1,Male,IND,30011,A. G. SAHIB,1.59,S. K. SHERIFF,INC,M,nan,DMK,MUNIRATHINAM,-3.12,0.88,-13.28,IND
Madras,4,1967,2,31,ARCOT,74.06,60.13,General,84245,3,1,Male,DMK,37514,N. VEERASWAMY,22.97,A. G. R. NAICKER,INC,M,nan,DMK,ABDUL KHALEEL,20.81,4.08,21.56,
Madras,4,1967,2,32,KATPADI,75.18,53.06,General,82615,3,1,Male,DMK,32952,G. NATARAJAN,12.75,P. S. R. NAIDU,INC,M,nan,INC,B. RAJAGOPAL NAIDU,8.87,5.59,3.24,DMK
Madras,4,1967,2,33,GUDIYATTAM,74.47,61.21,General,85177,3,1,Male,CPM,38825,V. K. KOTHANDARAMAN,26.68,B. R. NAIDU,INC,M,nan,INC,T. MANAVALAN,16.24,14.37,8.31,CPM
Madras,4,1967,2,34,PERNAMBATTU,65.61,54.75,SC,80373,3,1,Male,DMK,28868,P. JAYARAMAN,16.9,T. MANAVALAN,INC,M,nan,INC,R. JEEVARATHNA MUDALIAR,14.14,-7.52,16.61,DMK
Madras,4,1967,2,35,NATRAMPALLI,70.37,52.18,General,79565,2,1,Male,DMK,29215,T. C. T. GOUNDER,4.36,R. C. S. GOUNDER,INC,M,nan,DMK,SAMPANGI NAIDU,1.78,14.05,-21.92,
Madras,4,1967,2,36,TIRUPPATTUR,79.03,49.8,General,82816,3,1,Male,DMK,32589,C. GOUNDER,3.17,SHUNMUGAM,INC,M,nan,INC,P. RAJAGOPAL,-3.93,20.04,-16.9,DMK
Madras,4,1967,2,37,VANIYAMBADI,72.96,50.77,General,72746,3,1,Male,INC,26946,RAJAMANNAR,3.09,VADIVEL,DMK,M,nan,DMK,M. P. VADIVAL,-4.09,6.29,-11.41,INC
Madras,4,1967,2,38,AMBUR,64.3,56.35,SC,87087,3,1,Male,DMK,31554,M. PANNEERSELVAM,18.94,P. RAJAGOPAL,INC,M,nan,DMK,K. THIRUPATHY GOUNDER,-6.03,1.12,-5.82,
Madras,4,1967,2,39,KAMIYAMBADI,74.04,49.62,General,80337,3,1,Male,INC,29512,L. BALARAMAN,2.37,T. THIRUVENGADAM,DMK,M,nan,DMK,C.K. CHINNARAJI GOUNDER,-5.6,2.57,-12.67,INC
Madras,4,1967,2,40,VELLORE,76.41,58.96,General,88490,6,1,Male,DMK,39863,M. P. SARATHI,21.32,J. MUDALIAR,INC,M,nan,DMK,KESAVA REDDIAR,-3.2,19.63,-2.99,
Madras,4,1967,2,41,ARNI,76.11,60.74,General,82278,4,1,Male,DMK,38038,A. C. NARASIMHAN,33.08,T. B. J. CHETTIAR,INC,M,nan,INC,C. KOTHANDARAMA BAGAVATHAR,9.14,0.94,20.14,DMK
Madras,4,1967,2,42,CHEYYAR,79.18,54.86,General,85337,4,1,Male,DMK,37068,K. GOVINDAN,29.11,K. M. KANGAN,INC,M,nan,DMK,MURUGAIYAN,11.68,23.44,14.22,
Madras,4,1967,2,43,WANDIWASH,67.48,61.25,SC,93447,4,1,Male,DMK,38626,MUTHULINGAM,27.48,A. ADINEELAM,INC,M,nan,INC,A. ARUMUGAM,4.99,8.68,14.95,DMK
Madras,4,1967,2,44,PERNAMALLUR,74.62,46.25,General,85233,5,1,Male,DMK,29413,V. D. A. MUDALY,14.45,P. RAMACHANDRAN,INC,M,nan,INC,P. PALANI PILLAI,-3.81,4.13,11.96,DMK
Madras,4,1967,2,45,POLUR,71.47,56.92,General,81835,3,1,Female,DMK,33292,S. KUPPAMAL,22.34,S. M. ANNAMALAI,INC,M,nan,INC,GOPAL KOUNDER,-2.71,22.31,-12.07,DMK
Madras,4,1967,2,46,CHENGAM,66.87,56.84,SC,78478,5,1,Male,DMK,29828,P. S. SANTHANAM,21.07,A. ARUMUGHAM,INC,M,nan,INC,RAJARAM,5.31,3.55,18,DMK
Madras,4,1967,2,47,THANDRAMBATTU,70.87,50.31,General,82797,3,1,Male,INC,29524,K. S. KANDAR,2.28,R. DHARMALINGAM,DMK,M,nan,DMK,THANGAVELU A.,4.98,2.03,1.85,INC
