State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Chhattisgarh,4,2018,61,4
Chhattisgarh,3,2013,45,3
Chhattisgarh,2,2008,40,3
Chhattisgarh,1,2003,28,4
