State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Chhattisgarh,4,2018,1269,1064
Chhattisgarh,3,2013,986,796
Chhattisgarh,2,2008,1066,871
Chhattisgarh,1,2003,819,615
