State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Rajasthan,15,2018,2274,1821
Rajasthan,14,2013,2096,1643
Rajasthan,13,2008,2194,1732
Rajasthan,12,2003,1541,1081
Rajasthan,11,1998,1436,982
Rajasthan,10,1993,2437,1979
Rajasthan,9,1990,3086,2622
Rajasthan,8,1985,1504,1081
Rajasthan,7,1980,1406,947
Rajasthan,6,1977,1150,735
Rajasthan,5,1972,875,501
Rajasthan,4,1967,892,493
Rajasthan,3,1962,890,498
