State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Rajasthan,15,2018,86,7
Rajasthan,14,2013,56,5
Rajasthan,13,2008,42,7
Rajasthan,12,2003,34,8
Rajasthan,11,1998,30,6
Rajasthan,10,1993,26,4
Rajasthan,9,1990,25,4
Rajasthan,8,1985,8,5
Rajasthan,7,1980,11,7
Rajasthan,6,1977,7,4
Rajasthan,5,1972,9,6
Rajasthan,4,1967,9,5
Rajasthan,3,1962,8,7
