State_Name,Assembly_No,Year,Women_Percentage
Rajasthan,15,2018,11.56
Rajasthan,14,2013,14
Rajasthan,13,2008,14
Rajasthan,12,2003,6
Rajasthan,11,1998,7
Rajasthan,10,1993,4.52
Rajasthan,9,1990,5.5
Rajasthan,8,1985,8
Rajasthan,7,1980,5
Rajasthan,6,1977,3.5
Rajasthan,5,1972,2.17
Rajasthan,4,1967,3.26
Rajasthan,3,1962,4.55
